字頭,撫州話,推導撫州話,文白新,訓作,釋義,中古拼音,音韻地位,聲母,清濁,音,組,攝,韻系,等,呼,聲調,反切,廣韻釋義,推導普通話,推導廣州話
葺,,tɕit7,,,,cip,精深侵三開入,精,全清,齒,精,深,侵,三,開,入,子入切,茨也,jin,zap1
䁒,,tɕit7,,,,cip,精深侵三開入,精,全清,齒,精,深,侵,三,開,入,子入切,眨䁒,jin,zap1
𥠋,,tɕit7,,,,cip,精深侵三開入,精,全清,齒,精,深,侵,三,開,入,子入切,稠𥠋𥠋,jin,zap1
㠍,,tɕit7,,,,cip,精深侵三開入,精,全清,齒,精,深,侵,三,開,入,子入切,負秦山名,jin,zap1
及,tɕʰit8,tɕʰit8,,,,gip,羣深侵三開B入,羣,全濁,牙,見,深,侵,三,開,入,其立切,至也逮也連也辝也其立切七,jin2,gap6
𨕤,,tɕʰit8,,,,gip,羣深侵三開B入,羣,全濁,牙,見,深,侵,三,開,入,其立切,古文,jin2,gap6
𦶍,,tɕʰit8,,,,gip,羣深侵三開B入,羣,全濁,牙,見,深,侵,三,開,入,其立切,冬瓜,jin2,gap6
苙,,tɕʰit8,,,,gip,羣深侵三開B入,羣,全濁,牙,見,深,侵,三,開,入,其立切,白芷又力急切,jin2,gap6
䲯,,tɕʰit8,,,,gip,羣深侵三開B入,羣,全濁,牙,見,深,侵,三,開,入,其立切,䲯鳩鳥,jin2,gap6
笈,,tɕʰit8,,,,gip,羣深侵三開B入,羣,全濁,牙,見,深,侵,三,開,入,其立切,負書箱又其劫切,jin2,gap6
㧀,,tɕʰit8,,,,gip,羣深侵三開B入,羣,全濁,牙,見,深,侵,三,開,入,其立切,戶鍵,jin2,gap6
蟄,tʰit8,tʰit8,,,,drip,澄深侵三開入,澄,全濁,舌,知,深,侵,三,開,入,直立切,蟄蟲又藏也直立切六,zhen2,zap6
䐲,,tʰit8,,,,drip,澄深侵三開入,澄,全濁,舌,知,深,侵,三,開,入,直立切,肉半生半熟,zhen2,zap6
俋,,tʰit8,,,,drip,澄深侵三開入,澄,全濁,舌,知,深,侵,三,開,入,直立切,俋俋然耕皃出莊子,zhen2,zap6
㙷,,tʰit8,,,,drip,澄深侵三開入,澄,全濁,舌,知,深,侵,三,開,入,直立切,下入又直輒切,zhen2,zap6
㞏,,tʰit8,,,,drip,澄深侵三開入,澄,全濁,舌,知,深,侵,三,開,入,直立切,㞚㞏前後相次也㞚初立切,zhen2,zap6
譶,,tʰit8,,,,drip,澄深侵三開入,澄,全濁,舌,知,深,侵,三,開,入,直立切,㒊譶言不止也,zhen2,zap6
縶,,tit7,,,,trip,知深侵三開入,知,全清,舌,知,深,侵,三,開,入,陟立切,繫馬陟立切四,zhen,zap1
𩅀,,tit7,,,,trip,知深侵三開入,知,全清,舌,知,深,侵,三,開,入,陟立切,小濕,zhen,zap1
馽,,tit7,,,,trip,知深侵三開入,知,全清,舌,知,深,侵,三,開,入,陟立切,馬絆,zhen,zap1
𡁉,,tit7,,,,trip,知深侵三開入,知,全清,舌,知,深,侵,三,開,入,陟立切,口𡁉𡁉,zhen,zap1
立,tit7,tit7,,,,lip,來深侵三開入,來,次濁,舌,來,深,侵,三,開,入,力入切,行立又住也成也又漢複姓魯有賢人立如子力入切九,lin4,lap6
䶘,,tit7,,,,lip,來深侵三開入,來,次濁,舌,來,深,侵,三,開,入,力入切,齧聲,lin4,lap6
粒,tit7,tit7,,,,lip,來深侵三開入,來,次濁,舌,來,深,侵,三,開,入,力入切,米粒,lin4,lap6
笠,tit7,tit7,,,,lip,來深侵三開入,來,次濁,舌,來,深,侵,三,開,入,力入切,雨笠本草呼破笠爲敗天公也,lin4,lap6
鴗,,tit7,,,,lip,來深侵三開入,來,次濁,舌,來,深,侵,三,開,入,力入切,水狗爾雅謂之天狗注云小鳥青似翠食魚江東呼爲水狗,lin4,lap6
苙,,tit7,,,,lip,來深侵三開入,來,次濁,舌,來,深,侵,三,開,入,力入切,白芷又其立切,lin4,lap6
䇐,,tit7,,,,lip,來深侵三開入,來,次濁,舌,來,深,侵,三,開,入,力入切,臨也,lin4,lap6
岦,,tit7,,,,lip,來深侵三開入,來,次濁,舌,來,深,侵,三,開,入,力入切,岦岌山皃,lin4,lap6
砬,,tit7,,,,lip,來深侵三開入,來,次濁,舌,來,深,侵,三,開,入,力入切,石藥,lin4,lap6
急,tɕit7,tɕit7,,,,kip,見深侵三開B入,見,全清,牙,見,深,侵,三,開,入,居立切,急疾說文作㤂褊也居立切十一,jin,gap1
汲,tɕit7,tɕit7,,,,kip,見深侵三開B入,見,全清,牙,見,深,侵,三,開,入,居立切,汲引也又縣名在衛州又姓漢有中尉汲黯河東人,jin,gap1
給,tɕit7,tɕit7,,,,kip,見深侵三開B入,見,全清,牙,見,深,侵,三,開,入,居立切,供給又姓出姓苑,jin,gap1
伋,,tɕit7,,,,kip,見深侵三開B入,見,全清,牙,見,深,侵,三,開,入,居立切,孔伋字子思,jin,gap1
級,tɕit7,tɕit7,,,,kip,見深侵三開B入,見,全清,牙,見,深,侵,三,開,入,居立切,等級說文云絲次序也亦階級禮曰拾級聚足俗作𨸚,jin,gap1
芨,,tɕit7,,,,kip,見深侵三開B入,見,全清,牙,見,深,侵,三,開,入,居立切,烏頭別名,jin,gap1
𦳌,,tɕit7,,,,kip,見深侵三開B入,見,全清,牙,見,深,侵,三,開,入,居立切,烏頭別名,jin,gap1
㽺,,tɕit7,,,,kip,見深侵三開B入,見,全清,牙,見,深,侵,三,開,入,居立切,病也,jin,gap1
彶,,tɕit7,,,,kip,見深侵三開B入,見,全清,牙,見,深,侵,三,開,入,居立切,彶遽也,jin,gap1
皀,,tɕit7,,,,kip,見深侵三開B入,見,全清,牙,見,深,侵,三,開,入,居立切,穀香,jin,gap1
𪀐,,tɕit7,,,,kip,見深侵三開B入,見,全清,牙,見,深,侵,三,開,入,居立切,𪀐鵖鳥名,jin,gap1
岌,,nit7,,,,ngip,疑深侵三開B入,疑,次濁,牙,見,深,侵,三,開,入,魚及切,高皃魚及切二,yin4,ngap6
㱞,,nit7,,,,ngip,疑深侵三開B入,疑,次濁,牙,見,深,侵,三,開,入,魚及切,危也,yin4,ngap6
泣,tɕʰit7,tɕʰit7,,,,khip,溪深侵三開B入,溪,次清,牙,見,深,侵,三,開,入,去急切,無聲出涕去急切三,qin,hap1
㬤,,tɕʰit7,,,,khip,溪深侵三開B入,溪,次清,牙,見,深,侵,三,開,入,去急切,欲燥,qin,hap1
湆,,tɕʰit7,,,,khip,溪深侵三開B入,溪,次清,牙,見,深,侵,三,開,入,去急切,羹汁,qin,hap1
𩎕,,ɕit7,,,,sip,心深侵三開入,心,全清,齒,精,深,侵,三,開,入,先立切,小兒履也先立切五,xin,sap1
卌,,ɕit7,,,,sip,心深侵三開入,心,全清,齒,精,深,侵,三,開,入,先立切,字統云插糞杷說文云數名今直以爲四十字,xin,sap1
霫,,ɕit7,,,,sip,心深侵三開入,心,全清,齒,精,深,侵,三,開,入,先立切,字林云雨皃又奚霫東北夷名,xin,sap1
𧿅,,ɕit7,,,,sip,心深侵三開入,心,全清,齒,精,深,侵,三,開,入,先立切,𧿅膝坐,xin,sap1
㗩,,ɕit7,,,,sip,心深侵三開入,心,全清,齒,精,深,侵,三,開,入,先立切,㗩㗩忍寒聲,xin,sap1
歰,,sɛt7,,,,srip,生深侵三開入,生,全清,齒,莊,深,侵,三,開,入,色立切,說文曰不滑也色立切八,shen,sap1
澀,sɛʔ7,sɛt7,,,,srip,生深侵三開入,生,全清,齒,莊,深,侵,三,開,入,色立切,說文曰不滑也色立切八,shen,sap1
澁,,sɛt7,,,,srip,生深侵三開入,生,全清,齒,莊,深,侵,三,開,入,色立切,俗,shen,sap1
鈒,,sɛt7,,,,srip,生深侵三開入,生,全清,齒,莊,深,侵,三,開,入,色立切,戟也鋋也,shen,sap1
雭,,sɛt7,,,,srip,生深侵三開入,生,全清,齒,莊,深,侵,三,開,入,色立切,小雨聲,shen,sap1
濇,,sɛt7,,,,srip,生深侵三開入,生,全清,齒,莊,深,侵,三,開,入,色立切,不滑,shen,sap1
㒊,,sɛt7,,,,srip,生深侵三開入,生,全清,齒,莊,深,侵,三,開,入,色立切,不及,shen,sap1
翜,,sɛt7,,,,srip,生深侵三開入,生,全清,齒,莊,深,侵,三,開,入,色立切,疾飛,shen,sap1
吸,ɕit7,ɕit7,,,,hip,曉深侵三開B入,曉,全清,喉,影,深,侵,三,開,入,許及切,內息許及切十二,xin,hap1
噏,,ɕit7,,,,hip,曉深侵三開B入,曉,全清,喉,影,深,侵,三,開,入,許及切,內息許及切十二,xin,hap1
歙,,ɕit7,,,,hip,曉深侵三開B入,曉,全清,喉,影,深,侵,三,開,入,許及切,說文曰縮鼻也後漢有來歙又舒涉切州名,xin,hap1
翕,ɕit7,ɕit7,,,,hip,曉深侵三開B入,曉,全清,喉,影,深,侵,三,開,入,許及切,火炙一曰起也又斂也合也動也聚也盛也,xin,hap1
𧬈,,ɕit7,,,,hip,曉深侵三開B入,曉,全清,喉,影,深,侵,三,開,入,許及切,𧬈䛅語聲也,xin,hap1
潝,,ɕit7,,,,hip,曉深侵三開B入,曉,全清,喉,影,深,侵,三,開,入,許及切,水流皃,xin,hap1
熻,,ɕit7,,,,hip,曉深侵三開B入,曉,全清,喉,影,深,侵,三,開,入,許及切,熻熱,xin,hap1
嬆,,ɕit7,,,,hip,曉深侵三開B入,曉,全清,喉,影,深,侵,三,開,入,許及切,莊嚴,xin,hap1
翖,,ɕit7,,,,hip,曉深侵三開B入,曉,全清,喉,影,深,侵,三,開,入,許及切,漢有翖侯,xin,hap1
𨝫,,ɕit7,,,,hip,曉深侵三開B入,曉,全清,喉,影,深,侵,三,開,入,許及切,地名,xin,hap1
闟,,ɕit7,,,,hip,曉深侵三開B入,曉,全清,喉,影,深,侵,三,開,入,許及切,戟名曰闟,xin,hap1
𪅲,,ɕit7,,,,hip,曉深侵三開B入,曉,全清,喉,影,深,侵,三,開,入,許及切,鳥名,xin,hap1
戢,,tsɛt7,,,,crip,莊深侵三開入,莊,全清,齒,莊,深,侵,三,開,入,阻立切,止也斂也阻立切九,zhen,zap1
𥊬,,tsɛt7,,,,crip,莊深侵三開入,莊,全清,齒,莊,深,侵,三,開,入,阻立切,淚出皃,zhen,zap1
𧤏,,tsɛt7,,,,crip,莊深侵三開入,莊,全清,齒,莊,深,侵,三,開,入,阻立切,角多皃,zhen,zap1
𧥄,,tsɛt7,,,,crip,莊深侵三開入,莊,全清,齒,莊,深,侵,三,開,入,阻立切,角多皃,zhen,zap1
㗊,,tsɛt7,,,,crip,莊深侵三開入,莊,全清,齒,莊,深,侵,三,開,入,阻立切,眾口,zhen,zap1
蕺,,tsɛt7,,,,crip,莊深侵三開入,莊,全清,齒,莊,深,侵,三,開,入,阻立切,菜名,zhen,zap1
濈,,tsɛt7,,,,crip,莊深侵三開入,莊,全清,齒,莊,深,侵,三,開,入,阻立切,和也,zhen,zap1
𠿠,,tsɛt7,,,,crip,莊深侵三開入,莊,全清,齒,莊,深,侵,三,開,入,阻立切,喻也,zhen,zap1
霵,,tsɛt7,,,,crip,莊深侵三開入,莊,全清,齒,莊,深,侵,三,開,入,阻立切,雨下又士邑切,zhen,zap1
邑,it7,it7,,,,qip,影深侵三開B入,影,全清,喉,影,深,侵,三,開,入,於汲切,縣邑周禮曰四井爲邑又漢複姓有邑由氏楚大夫養由氏之後避仇改焉於汲切八,yin,jap1
悒,,it7,,,,qip,影深侵三開B入,影,全清,喉,影,深,侵,三,開,入,於汲切,憂悒,yin,jap1
唈,,it7,,,,qip,影深侵三開B入,影,全清,喉,影,深,侵,三,開,入,於汲切,嗚唈短氣,yin,jap1
裛,,it7,,,,qip,影深侵三開B入,影,全清,喉,影,深,侵,三,開,入,於汲切,裛香又於怯切,yin,jap1
浥,,it7,,,,qip,影深侵三開B入,影,全清,喉,影,深,侵,三,開,入,於汲切,濕潤,yin,jap1
䓃,,it7,,,,qip,影深侵三開B入,影,全清,喉,影,深,侵,三,開,入,於汲切,䓃菸茹熟,yin,jap1
䭂,,it7,,,,qip,影深侵三開B入,影,全清,喉,影,深,侵,三,開,入,於汲切,食䭂,yin,jap1
𦶂,,it7,,,,qip,影深侵三開B入,影,全清,喉,影,深,侵,三,開,入,於汲切,𦶂𦮾,yin,jap1
湁,,tʰit7,,,,thrip,徹深侵三開入,徹,次清,舌,知,深,侵,三,開,入,丑入切,湁潗沸皃丑入切三,chen,cap1
雴,,tʰit7,,,,thrip,徹深侵三開入,徹,次清,舌,知,深,侵,三,開,入,丑入切,大雨,chen,cap1
漐,,tʰit7,,,,thrip,徹深侵三開入,徹,次清,舌,知,深,侵,三,開,入,丑入切,汗出皃,chen,cap1
煜,,it7,,,,ip,云深侵三開B入,云,次濁,喉,影,深,侵,三,開,入,爲立切,文皃爲立切四,yin4,jap6
曄,,it7,,,,ip,云深侵三開B入,云,次濁,喉,影,深,侵,三,開,入,爲立切,暐曄又筠輒切,yin4,jap6
熠,,it7,,,,ip,云深侵三開B入,云,次濁,喉,影,深,侵,三,開,入,爲立切,熠燿螢火又羊入切,yin4,jap6
騽,,it7,,,,ip,云深侵三開B入,云,次濁,喉,影,深,侵,三,開,入,爲立切,馬豪骭又音習,yin4,jap6
熠,,it7,,,,jip,以深侵三開A入,以,次濁,喉,影,深,侵,三,開,入,羊入切,熠燿螢火羊入切二,yin4,jap6
孴,,it7,,,,jip,以深侵三開A入,以,次濁,喉,影,深,侵,三,開,入,羊入切,多皃,yin4,jap6
孨,,nit7,,,,nrip,娘深侵三開入,娘,次濁,舌,知,深,侵,三,開,入,尼立切,戢孨聚皃尼立切五,nin4,nap6
㵫,,nit7,,,,nrip,娘深侵三開入,娘,次濁,舌,知,深,侵,三,開,入,尼立切,潗㵫水文皃,nin4,nap6
𣲷,,nit7,,,,nrip,娘深侵三開入,娘,次濁,舌,知,深,侵,三,開,入,尼立切,濕𣲷,nin4,nap6
㘝,,nit7,,,,nrip,娘深侵三開入,娘,次濁,舌,知,深,侵,三,開,入,尼立切,㘝㘝私取皃又女洽切,nin4,nap6
𦮾,,nit7,,,,nrip,娘深侵三開入,娘,次濁,舌,知,深,侵,三,開,入,尼立切,𦶂𦮾,nin4,nap6
霵,,tsʰɛt8,,,,zrip,崇深侵三開入,崇,全濁,齒,莊,深,侵,三,開,入,仕戢切,暴雨皃仕戢切二,zhen2,zap6
䯂,,tsʰɛt8,,,,zrip,崇深侵三開入,崇,全濁,齒,莊,深,侵,三,開,入,仕戢切,盛眾皃,zhen2,zap6
𪀐,,pʰit8,,,,bip,並深侵三開B入,並,全濁,脣,幫,深,侵,三,開,入,皮及切,𪀐鵖亦作鴔皮及切一,bin2,bat6
鵖,,pit7,,,,pip,幫深侵三開B入,幫,全清,脣,幫,深,侵,三,開,入,彼及切,彼及切二,bin,bat1
皀,,pit7,,,,pip,幫深侵三開B入,幫,全清,脣,幫,深,侵,三,開,入,彼及切,穀香也,bin,bat1
㞚,,tsʰɛt7,,,,chrip,初深侵三開入,初,次清,齒,莊,深,侵,三,開,入,初戢切,㞚㞏初戢切四,chen,cap1
𡍪,,tsʰɛt7,,,,chrip,初深侵三開入,初,次清,齒,莊,深,侵,三,開,入,初戢切,𡍪㙷重累土也,chen,cap1
䙄,,tsʰɛt7,,,,chrip,初深侵三開入,初,次清,齒,莊,深,侵,三,開,入,初戢切,重緣,chen,cap1
𢕬,,tsʰɛt7,,,,chrip,初深侵三開入,初,次清,齒,莊,深,侵,三,開,入,初戢切,行皃,chen,cap1
卙,,tʰit7,,,,chjip,昌深侵三開入,昌,次清,齒,章,深,侵,三,開,入,昌汁切,字統云會聚也昌汁切一,chen,cap1
合,hot8,hot8,,,,ghop,匣咸覃一開入,匣,全濁,喉,影,咸,覃,一,開,入,侯閤切,合同亦器名亦六合天地四方對也又州名秦爲巴郡宋爲宕渠郡後魏置合州蓋涪漢二水合流之處因以名之又姓左傳宋有大夫合左師又漢複姓高帝功臣表有合傅胡害侯閤切又音閤十一,han2,hap6
郃,,hot8,,,,ghop,匣咸覃一開入,匣,全濁,喉,影,咸,覃,一,開,入,侯閤切,郃陽縣在同州又虜複姓後魏書大莫干氏後改爲郃氏又音閤,han2,hap6
榙,,hot8,,,,ghop,匣咸覃一開入,匣,全濁,喉,影,咸,覃,一,開,入,侯閤切,榙𣝋果名似李出埤蒼,han2,hap6
䢔,,hot8,,,,ghop,匣咸覃一開入,匣,全濁,喉,影,咸,覃,一,開,入,侯閤切,䢔遝行相及也,han2,hap6
㭘,,hot8,,,,ghop,匣咸覃一開入,匣,全濁,喉,影,咸,覃,一,開,入,侯閤切,㭘棔木也,han2,hap6
詥,,hot8,,,,ghop,匣咸覃一開入,匣,全濁,喉,影,咸,覃,一,開,入,侯閤切,諧也亦作合,han2,hap6
耠,,hot8,,,,ghop,匣咸覃一開入,匣,全濁,喉,影,咸,覃,一,開,入,侯閤切,耕也,han2,hap6
𡇶,,hot8,,,,ghop,匣咸覃一開入,匣,全濁,喉,影,咸,覃,一,開,入,侯閤切,會也,han2,hap6
𪘁,,hot8,,,,ghop,匣咸覃一開入,匣,全濁,喉,影,咸,覃,一,開,入,侯閤切,𪘁齧聲也,han2,hap6
𦳬,,hot8,,,,ghop,匣咸覃一開入,匣,全濁,喉,影,咸,覃,一,開,入,侯閤切,草,han2,hap6
盒,hot8,hot8,,,,ghop,匣咸覃一開入,匣,全濁,喉,影,咸,覃,一,開,入,侯閤切,盒盤覆也,han2,hap6
閤,hot8,kot7,,,,kop,見咸覃一開入,見,全清,牙,見,咸,覃,一,開,入,古沓切,爾雅曰小閨謂之閤古沓切十九,gan,gap3
鴿,kot8,kot7,白,,,kop,見咸覃一開入,見,全清,牙,見,咸,覃,一,開,入,古沓切,鳥名,gan,gap3
鴿,kot7,kot7,文,,,kop,見咸覃一開入,見,全清,牙,見,咸,覃,一,開,入,古沓切,鳥名,gan,gap3
合,,kot7,,,,kop,見咸覃一開入,見,全清,牙,見,咸,覃,一,開,入,古沓切,合集又音䢔,gan,gap3
敆,,kot7,,,,kop,見咸覃一開入,見,全清,牙,見,咸,覃,一,開,入,古沓切,合會也,gan,gap3
鉿,,kot7,,,,kop,見咸覃一開入,見,全清,牙,見,咸,覃,一,開,入,古沓切,二尺鋌,gan,gap3
鮯,,kot7,,,,kop,見咸覃一開入,見,全清,牙,見,咸,覃,一,開,入,古沓切,魚名六足鳥尾出山海經,gan,gap3
蛤,kot7,kot7,,,,kop,見咸覃一開入,見,全清,牙,見,咸,覃,一,開,入,古沓切,蚌蛤,gan,gap3
郃,,kot7,,,,kop,見咸覃一開入,見,全清,牙,見,咸,覃,一,開,入,古沓切,水名又縣名又音䢔,gan,gap3
浩,,kot7,,,,kop,見咸覃一開入,見,全清,牙,見,咸,覃,一,開,入,古沓切,浩亹地名亹音門,gan,gap3
匌,,kot7,,,,kop,見咸覃一開入,見,全清,牙,見,咸,覃,一,開,入,古沓切,周帀也,gan,gap3
頜,,kot7,,,,kop,見咸覃一開入,見,全清,牙,見,咸,覃,一,開,入,古沓切,頜頷頤傍,gan,gap3
佮,,kot7,,,,kop,見咸覃一開入,見,全清,牙,見,咸,覃,一,開,入,古沓切,併佮聚也,gan,gap3
㧁,,kot7,,,,kop,見咸覃一開入,見,全清,牙,見,咸,覃,一,開,入,古沓切,閉戶曰㧁,gan,gap3
𣭝,,kot7,,,,kop,見咸覃一開入,見,全清,牙,見,咸,覃,一,開,入,古沓切,𣭝𣬬目睫長,gan,gap3
㭘,,kot7,,,,kop,見咸覃一開入,見,全清,牙,見,咸,覃,一,開,入,古沓切,劒柙又巨業切,gan,gap3
㠷,,kot7,,,,kop,見咸覃一開入,見,全清,牙,見,咸,覃,一,開,入,古沓切,以席載穀,gan,gap3
鞈,,kot7,,,,kop,見咸覃一開入,見,全清,牙,見,咸,覃,一,開,入,古沓切,防捍,gan,gap3
韐,,kot7,,,,kop,見咸覃一開入,見,全清,牙,見,咸,覃,一,開,入,古沓切,韎韐大帶,gan,gap3
𢂷,,kot7,,,,kop,見咸覃一開入,見,全清,牙,見,咸,覃,一,開,入,古沓切,𢂷口亦同上,gan,gap3
答,tat7,tat7,,,,top,端咸覃一開入,端,全清,舌,端,咸,覃,一,開,入,都合切,當也亦作荅都合切十二,dan,daap3
畣,,tat7,,,,top,端咸覃一開入,端,全清,舌,端,咸,覃,一,開,入,都合切,爾雅曰俞畣然也,dan,daap3
𨅞,,tat7,,,,top,端咸覃一開入,端,全清,舌,端,咸,覃,一,開,入,都合切,跛行皃,dan,daap3
撘,,tat7,,,,top,端咸覃一開入,端,全清,舌,端,咸,覃,一,開,入,都合切,打也出音譜,dan,daap3
荅,,tat7,,,,top,端咸覃一開入,端,全清,舌,端,咸,覃,一,開,入,都合切,正名云小豆,dan,daap3
褡,,tat7,,,,top,端咸覃一開入,端,全清,舌,端,咸,覃,一,開,入,都合切,橫褡小被,dan,daap3
㜓,,tat7,,,,top,端咸覃一開入,端,全清,舌,端,咸,覃,一,開,入,都合切,面㜓姶皃,dan,daap3
㾑,,tat7,,,,top,端咸覃一開入,端,全清,舌,端,咸,覃,一,開,入,都合切,肥㾑㽺出字林,dan,daap3
嗒,,tat7,,,,top,端咸覃一開入,端,全清,舌,端,咸,覃,一,開,入,都合切,舐嗒,dan,daap3
𤝰,,tat7,,,,top,端咸覃一開入,端,全清,舌,端,咸,覃,一,開,入,都合切,犬食,dan,daap3
㿯,,tat7,,,,top,端咸覃一開入,端,全清,舌,端,咸,覃,一,開,入,都合切,皮㿯,dan,daap3
㯚,,tat7,,,,top,端咸覃一開入,端,全清,舌,端,咸,覃,一,開,入,都合切,㯚𣝋木名,dan,daap3
趿,,sat7,,,,sop,心咸覃一開入,心,全清,齒,精,咸,覃,一,開,入,蘇合切,進足蘇合切十一,san,saap3
颯,,sat7,,,,sop,心咸覃一開入,心,全清,齒,精,咸,覃,一,開,入,蘇合切,風聲,san,saap3
靸,,sat7,,,,sop,心咸覃一開入,心,全清,齒,精,咸,覃,一,開,入,蘇合切,小兒履或作𩎕,san,saap3
𩎕,,sat7,,,,sop,心咸覃一開入,心,全清,齒,精,咸,覃,一,開,入,蘇合切,小兒履或作𩎕,san,saap3
馺,,sat7,,,,sop,心咸覃一開入,心,全清,齒,精,咸,覃,一,開,入,蘇合切,馬行疾,san,saap3
霅,,sat7,,,,sop,心咸覃一開入,心,全清,齒,精,咸,覃,一,開,入,蘇合切,廣雅曰雨霅霅又音讋,san,saap3
卅,,sat7,,,,sop,心咸覃一開入,心,全清,齒,精,咸,覃,一,開,入,蘇合切,說文云𠦃三十也今作卅直以爲三十字,san,saap3
㚫,,sat7,,,,sop,心咸覃一開入,心,全清,齒,精,咸,覃,一,開,入,蘇合切,媕㚫女字,san,saap3
𣬬,,sat7,,,,sop,心咸覃一開入,心,全清,齒,精,咸,覃,一,開,入,蘇合切,𣭝𣬬眼睫長,san,saap3
𢕬,,sat7,,,,sop,心咸覃一開入,心,全清,齒,精,咸,覃,一,開,入,蘇合切,眾行皃,san,saap3
鈒,,sat7,,,,sop,心咸覃一開入,心,全清,齒,精,咸,覃,一,開,入,蘇合切,鈒鏤,san,saap3
沓,,tʰat8,,,,dop,定咸覃一開入,定,全濁,舌,端,咸,覃,一,開,入,徒合切,重也合也又語多沓沓也又虜複姓後魏書沓盧氏後改爲沓氏徒合切十八,dan2,daap6
誻,,tʰat8,,,,dop,定咸覃一開入,定,全濁,舌,端,咸,覃,一,開,入,徒合切,譐誻亦作噂𠴲,dan2,daap6
遝,,tʰat8,,,,dop,定咸覃一開入,定,全濁,舌,端,咸,覃,一,開,入,徒合切,䢔遝,dan2,daap6
㧺,,tʰat8,,,,dop,定咸覃一開入,定,全濁,舌,端,咸,覃,一,開,入,徒合切,指㧺,dan2,daap6
㭼,,tʰat8,,,,dop,定咸覃一開入,定,全濁,舌,端,咸,覃,一,開,入,徒合切,柱上木也,dan2,daap6
涾,,tʰat8,,,,dop,定咸覃一開入,定,全濁,舌,端,咸,覃,一,開,入,徒合切,沸溢,dan2,daap6
𩣯,,tʰat8,,,,dop,定咸覃一開入,定,全濁,舌,端,咸,覃,一,開,入,徒合切,馺𩣯馬行,dan2,daap6
龖,,tʰat8,,,,dop,定咸覃一開入,定,全濁,舌,端,咸,覃,一,開,入,徒合切,龍飛之狀,dan2,daap6
𠉤,,tʰat8,,,,dop,定咸覃一開入,定,全濁,舌,端,咸,覃,一,開,入,徒合切,儑𠉤不著事也,dan2,daap6
譶,,tʰat8,,,,dop,定咸覃一開入,定,全濁,舌,端,咸,覃,一,開,入,徒合切,疾言,dan2,daap6
𣝋,,tʰat8,,,,dop,定咸覃一開入,定,全濁,舌,端,咸,覃,一,開,入,徒合切,榙𣝋,dan2,daap6
蹹,,tʰat8,,,,dop,定咸覃一開入,定,全濁,舌,端,咸,覃,一,開,入,徒合切,齧蹹,dan2,daap6
䂿,,tʰat8,,,,dop,定咸覃一開入,定,全濁,舌,端,咸,覃,一,開,入,徒合切,舂已復擣之爲䂿,dan2,daap6
䜚,,tʰat8,,,,dop,定咸覃一開入,定,全濁,舌,端,咸,覃,一,開,入,徒合切,妄言,dan2,daap6
𦂀,,tʰat8,,,,dop,定咸覃一開入,定,全濁,舌,端,咸,覃,一,開,入,徒合切,𦂀子絹出字林,dan2,daap6
𦾽,,tʰat8,,,,dop,定咸覃一開入,定,全濁,舌,端,咸,覃,一,開,入,徒合切,東魯人呼蘆菔曰菈𦾽,dan2,daap6
𧌏,,tʰat8,,,,dop,定咸覃一開入,定,全濁,舌,端,咸,覃,一,開,入,徒合切,䗘𧌏蟲,dan2,daap6
眔,,tʰat8,,,,dop,定咸覃一開入,定,全濁,舌,端,咸,覃,一,開,入,徒合切,目相見,dan2,daap6
錔,,tʰat7,,,,thop,透咸覃一開入,透,次清,舌,端,咸,覃,一,開,入,他合切,器物錔頭他合切二十二,tan,taap3
嚃,,tʰat7,,,,thop,透咸覃一開入,透,次清,舌,端,咸,覃,一,開,入,他合切,歠也,tan,taap3
䓠,,tʰat7,,,,thop,透咸覃一開入,透,次清,舌,端,咸,覃,一,開,入,他合切,菜生水中,tan,taap3
㛥,,tʰat7,,,,thop,透咸覃一開入,透,次清,舌,端,咸,覃,一,開,入,他合切,安皃說文曰俛伏也一曰意伏也,tan,taap3
踏,tʰat8,tʰat7,,,,thop,透咸覃一開入,透,次清,舌,端,咸,覃,一,開,入,他合切,著地,tan,taap3
𢃕,,tʰat7,,,,thop,透咸覃一開入,透,次清,舌,端,咸,覃,一,開,入,他合切,帳上覆,tan,taap3
鞜,,tʰat7,,,,thop,透咸覃一開入,透,次清,舌,端,咸,覃,一,開,入,他合切,革履,tan,taap3
𦑇,,tʰat7,,,,thop,透咸覃一開入,透,次清,舌,端,咸,覃,一,開,入,他合切,𦒆𦑇飛皃,tan,taap3
漯,,tʰat7,,,,thop,透咸覃一開入,透,次清,舌,端,咸,覃,一,開,入,他合切,水名在平原,tan,taap3
濕,,tʰat7,,,,thop,透咸覃一開入,透,次清,舌,端,咸,覃,一,開,入,他合切,水名在平原,tan,taap3
㹺,,tʰat7,,,,thop,透咸覃一開入,透,次清,舌,端,咸,覃,一,開,入,他合切,犬食,tan,taap3
𦧟,,tʰat7,,,,thop,透咸覃一開入,透,次清,舌,端,咸,覃,一,開,入,他合切,犬食,tan,taap3
䶀,,tʰat7,,,,thop,透咸覃一開入,透,次清,舌,端,咸,覃,一,開,入,他合切,鼓聲也,tan,taap3
佮,,tʰat7,,,,thop,透咸覃一開入,透,次清,舌,端,咸,覃,一,開,入,他合切,合也,tan,taap3
䵬,,tʰat7,,,,thop,透咸覃一開入,透,次清,舌,端,咸,覃,一,開,入,他合切,晉書有兗州八伯太山羊曼爲䵬伯,tan,taap3
